country,year,export
Brunei Darussalam,2013,8.801200000000001
Brunei Darussalam,2014,8.491100000000001
Brunei Darussalam,2015,5.1144
Brunei Darussalam,2016,4.5314
Brunei Darussalam,2017,3.7933000000000003
Brunei Darussalam,2018,4.7241
Brunei Darussalam,2019,4.5522
Brunei Darussalam,2020,3.9532
Brunei Darussalam,2021,7.749
Brunei Darussalam,2022,8.346
Cambodia,2013,6.1391
Cambodia,2014,6.3865
Cambodia,2015,7.8682
Cambodia,2016,9.2029
Cambodia,2017,10.1555
Cambodia,2018,11.7456
Cambodia,2019,13.4846
Cambodia,2020,13.6395
Cambodia,2021,15.746799999999999
Cambodia,2022,19.2969
Indonesia,2013,141.9218
Indonesia,2014,136.31189999999998
Indonesia,2015,116.71
Indonesia,2016,111.35589999999999
Indonesia,2017,129.5618
Indonesia,2018,138.0995
Indonesia,2019,126.2185
Indonesia,2020,126.7716
Indonesia,2021,183.5879
Indonesia,2022,230.5786
Lao PDR,2013,1.6422
Lao PDR,2014,1.1814
Lao PDR,2015,1.4071
Lao PDR,2016,1.807
Lao PDR,2017,1.7814
Lao PDR,2018,3.6246
Lao PDR,2019,2.2965999999999998
Lao PDR,2020,2.1581
Lao PDR,2021,3.347
Lao PDR,2022,3.7380999999999998
Malaysia,2013,164.2759
Malaysia,2014,168.6887
Malaysia,2015,142.9888
Malaysia,2016,133.91379999999998
Malaysia,2017,154.49020000000002
Malaysia,2018,177.53910000000002
Malaysia,2019,169.5319
Malaysia,2020,169.534
Malaysia,2021,216.47570000000002
Malaysia,2022,252.6489
Myanmar,2013,5.774100000000001
Myanmar,2014,6.6706
Myanmar,2015,7.1428
Myanmar,2016,8.3252
Myanmar,2017,9.9858999999999991
Myanmar,2018,12.5018
Myanmar,2019,13.7136
Myanmar,2020,12.564200000000001
Myanmar,2021,9.6136
Myanmar,2022,12.239799999999999
Philippines,2013,45.3634
Philippines,2014,52.89
Philippines,2015,50.1115
Philippines,2016,47.9123
Philippines,2017,58.5851
Philippines,2018,58.126400000000004
Philippines,2019,60.1113
Philippines,2020,54.970699999999994
Philippines,2021,62.4651
Philippines,2022,65.5205
Singapore,2013,281.9906
Singapore,2014,285.17920000000004
Singapore,2015,250.1029
Singapore,2016,238.70829999999998
Singapore,2017,275.1635
Singapore,2018,290.0698
Singapore,2019,278.6633
Singapore,2020,280.8275
Singapore,2021,335.52759999999995
Singapore,2022,367.6884
Thailand,2013,169.40970000000002
Thailand,2014,168.1478
Thailand,2015,159.2312
Thailand,2016,160.6696
Thailand,2017,177.03029999999998
Thailand,2018,176.0482
Thailand,2019,183.25560000000002
Thailand,2020,175.90429999999998
Thailand,2021,206.23020000000002
Thailand,2022,215.23510000000002
Viet Nam,2013,114.48519999999999
Viet Nam,2014,129.831
Viet Nam,2015,143.9501
Viet Nam,2016,159.286
Viet Nam,2017,192.4228
Viet Nam,2018,219.0645
Viet Nam,2019,239.6908
Viet Nam,2020,258.3129
Viet Nam,2021,307.01279999999997
Viet Nam,2022,337.0094
